"HITID","Lat","Long","ImageUrl","Worker","Answer","Date"
"3QI9WAYOGQBMFGR8CSNID9YPX2F6SD","40.6138459399","-75.075036909","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6138459399,-75.075036909&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Sidewalk/Shoulder::On Right side of Road","Tue Dec 16 07:37:11 UTC 2014"
"307L9TDWJYSQ2KCLLU8Y7CCZ0C5N3C","40.656989385","-75.0760442798","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.656989385,-75.0760442798&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A3HB9PPUZU565U","No Sidewalk/Shoulder::On Both sides of Road","Tue Dec 16 07:36:46 UTC 2014"
"375VMB7D4JJW6B3RH31IFD2U5Q1IDQ","40.6107859417","-75.1199409053","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6107859417,-75.1199409053&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A3HB9PPUZU565U","Has narrow shoulder::On Right side of Road","Tue Dec 16 07:36:37 UTC 2014"
"34YWR3PJ28AZXMRS4DDO3G5QZEV0XE","40.6613830563","-75.1034507164","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6613830563,-75.1034507164&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","Has Sidewalk::On Left side of Road","Tue Dec 16 07:37:17 UTC 2014"
"306996CF6WKSR899V0P6SOX8L3D1B9","40.6251339607","-75.0391589152","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6251339607,-75.0391589152&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","Has narrow shoulder::On Both sides of Road","Tue Dec 16 07:37:31 UTC 2014"
"3VADEH0UHCXUPM9DROMRJ9P6S75PS2","40.6509409473","-75.0775899211","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6509409473,-75.0775899211&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Imagery available","Tue Dec 16 07:37:37 UTC 2014"
"3ABAOCJ4R84CR3XN745U75GA5E9QMI","40.6301349752","-75.0921039113","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6301349752,-75.0921039113&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Imagery available","Tue Dec 16 07:37:35 UTC 2014"
"3YGYP136419ILMXNWK9UPAFF6QMNRH","40.6165029347","-75.1230239234","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6165029347,-75.1230239234&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Imagery available","Tue Dec 16 07:37:40 UTC 2014"
"344M16OZKIFTCISIAEPUQ3GWR1VNE3","40.6579742572","-75.070261465","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6579742572,-75.070261465&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Imagery available","Tue Dec 16 07:38:23 UTC 2014"
"3FDWKV9VCN24JW44ODPZH6DZ8ZFMUJ","40.6629673677","-75.0836418242","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6629673677,-75.0836418242&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","Has wide shoulder::On Left side of Road","Tue Dec 16 07:38:20 UTC 2014"
"3HUR21WDDUPWUHNDCLOXV8ZABRAYXD","40.6556479399","-75.0871829402","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6556479399,-75.0871829402&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","Has wide shoulder::On Right side of Road","Tue Dec 16 07:38:01 UTC 2014"
"37NXA7GVST6KQTBJTRYPDF0TM1XVLE","40.6321899651","-75.0470189045","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6321899651,-75.0470189045&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A3HB9PPUZU565U","No Imagery available","Tue Dec 16 07:38:36 UTC 2014"
"391FPZIE4CMIRI3TXG9MP153RDFHU4","40.6227579522","-75.1021159046","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6227579522,-75.1021159046&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Imagery available","Tue Dec 16 07:38:06 UTC 2014"
"3M0556243SKLIWSE5P908L1W329NFK","40.632866212","-75.0981299451","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.632866212,-75.0981299451&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Imagery available","Tue Dec 16 07:38:09 UTC 2014"
"3BKZLF990ZZCLKM1Q7T5103HEONYQG","40.674067783","-75.0949527301","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.674067783,-75.0949527301&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","Has narrow shoulder::On Both sides of Road","Tue Dec 16 07:37:53 UTC 2014"
"3GV1I4SEO9PZB3WISJQH1NKU5876LZ","40.623639897","-75.0865319311","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.623639897,-75.0865319311&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Imagery available","Tue Dec 16 07:38:04 UTC 2014"
"33N1S8XHHMLO96CP1E59E64BC6ZZ1D","40.6572019393","-75.0998209786","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6572019393,-75.0998209786&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A3HB9PPUZU565U","Has narrow shoulder::On Both sides of Road","Tue Dec 16 07:39:01 UTC 2014"
"31HLTCK4BLV441XII0190NVLQKBVG8","40.6539519452","-75.1010369381","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6539519452,-75.1010369381&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Sidewalk/Shoulder::On Both sides of Road","Tue Dec 16 07:39:14 UTC 2014"
"3BFF0DJK8XCSHE2K85VBOJQ3HAPST9","40.6521506787","-75.0905542276","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6521506787,-75.0905542276&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Imagery available","Tue Dec 16 07:38:34 UTC 2014"
"3UUSLRKAUL3ZHRMVYCXLOOCLRAQ7DK","40.6176499431","-75.12046094","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6176499431,-75.12046094&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A1V6P1ZE6Q8YEW","No Sidewalk/Shoulder::On Both sides of Road","Tue Dec 16 07:39:16 UTC 2014"
"3VGET1QSZ0ZYQXMMF72BGC16YQVW7H","40.6143759799","-75.0754864935","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6143759799,-75.0754864935&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Imagery available","Tue Dec 16 07:38:42 UTC 2014"
"39TX062QX1OVEEQPN0V75E3X2QF3XC","40.6345779771","-75.0443899848","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6345779771,-75.0443899848&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A1NM7ZPZ3NH412","No Imagery available","Tue Dec 16 07:40:21 UTC 2014"
"39AYGO6AFFKPZ3Z34W6WEFOJA36N6H","40.658894597","-75.060122048","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.658894597,-75.060122048&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A3HB9PPUZU565U","Has wide shoulder::On Right side of Road","Tue Dec 16 07:38:53 UTC 2014"
"3MGHRFQY2LPOXRH299ZQMUCZ1KOY0H","40.6164209706","-75.1056319106","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6164209706,-75.1056319106&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Imagery available","Tue Dec 16 07:38:40 UTC 2014"
"3J6BHNX0U9SWYIKS600XOYT1BYQKNJ","40.6370039418","-75.1002679803","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6370039418,-75.1002679803&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","No Imagery available","Tue Dec 16 07:39:17 UTC 2014"
"3YD0MU1NC211JKJJE26JYN4F67TA7L","40.6100249438","-75.1199694717","http://maps.googleapis.com/maps/api/streetview?size=600x400&location=40.6100249438,-75.1199694717&fov=120&heading=235&pitch=10&api=AIzaSyAayOw3zE32mgMeW_BkZHo1XxivwxZ9bO8","A2V3P1XE33NYC3","Has wide shoulder::On Right side of Road","Tue Dec 16 07:39:04 UTC 2014"
